,t,o,h,l,c,v,symbol
3,1591712100,1460.84,1462.02,1460.465,1460.51,7102,GOOG
4,1591713000,1461.64,1465.73,1461.05,1465.18,4414,GOOG
5,1591713900,1465.22,1467.49,1463.02,1464.99,5722,GOOG
6,1591714800,1465.34,1466.015,1463.12,1463.12,4362,GOOG
7,1591715700,1462.94,1464.29,1461.98,1463.67,3680,GOOG
8,1591716600,1464.63,1464.63,1462.55,1464.365,3098,GOOG
9,1591717500,1462.145,1462.22,1459.97,1460.54,1978,GOOG
10,1591718400,1457.245,1459.7,1457.245,1459.28,1386,GOOG
11,1591719300,1459.265,1460.96,1459.265,1459.65,5180,GOOG
12,1591720200,1458.64,1460.24,1458.64,1460.2,2708,GOOG
13,1591721100,1459.655,1459.655,1458.3,1459.41,2868,GOOG
14,1591722000,1458.23,1458.98,1455.65,1455.65,3934,GOOG
15,1591722900,1455.15,1455.87,1454.7,1455.475,3862,GOOG
16,1591723800,1456.09,1459.35,1456.09,1458.405,1116,GOOG
17,1591724700,1457.38,1459.29,1457.38,1458.87,1190,GOOG
18,1591725600,1457.47,1459.385,1457.47,1459.385,1156,GOOG
19,1591726500,1458.93,1459.375,1455.76,1457.22,1502,GOOG
20,1591727400,1457.48,1457.48,1455.915,1456.08,1708,GOOG
21,1591728300,1455.18,1455.87,1455.18,1455.87,502,GOOG
22,1591729200,1455.14,1456.99,1455.14,1456.99,996,GOOG
23,1591730100,1458.0,1459.83,1457.485,1458.6,2284,GOOG
24,1591731000,1459.57,1460.59,1457.035,1458.66,6432,GOOG
25,1591731900,1459.38,1459.38,1454.64,1455.15,29420,GOOG
0,1593437400,1357.62,1358.14,1348.67,1353.09,4717,GOOG
1,1593438300,1353.4,1367.49,1351.315,1367.49,2461,GOOG
2,1593439200,1369.82,1375.245,1364.93,1375.245,3829,GOOG
3,1593440100,1374.33,1377.78,1371.7,1371.7,3843,GOOG
4,1593441000,1373.52,1379.63,1371.13,1379.63,3567,GOOG
5,1593441900,1379.79,1382.16,1376.5,1379.57,5637,GOOG
6,1593442800,1379.07,1379.52,1373.69,1373.87,1808,GOOG
7,1593443700,1375.59,1382.17,1375.17,1381.13,2401,GOOG
8,1593444600,1383.28,1384.69,1380.5,1382.19,2773,GOOG
9,1593445500,1383.37,1386.37,1383.37,1386.37,2308,GOOG
10,1593446400,1388.61,1388.61,1384.61,1385.26,2301,GOOG
11,1593447300,1384.81,1387.365,1384.04,1386.07,2776,GOOG
12,1593448200,1385.78,1386.385,1384.75,1384.75,1152,GOOG
13,1593449100,1383.13,1385.22,1383.13,1385.22,1530,GOOG
14,1593450000,1385.47,1385.47,1382.98,1384.95,1832,GOOG
15,1593450900,1384.94,1385.89,1382.38,1382.38,2222,GOOG
16,1593451800,1382.32,1386.48,1382.32,1385.48,1175,GOOG
17,1593452700,1386.66,1388.5,1385.955,1386.88,1110,GOOG
18,1593453600,1386.73,1386.92,1383.37,1386.92,1900,GOOG
19,1593454500,1388.44,1388.47,1384.451,1384.451,2027,GOOG
20,1593455400,1385.53,1387.89,1385.53,1387.64,1355,GOOG
21,1593456300,1386.825,1386.825,1382.55,1383.68,1649,GOOG
22,1593457200,1383.405,1383.945,1381.45,1383.59,4000,GOOG
23,1593458100,1384.385,1386.63,1383.23,1386.57,3672,GOOG
24,1593459000,1387.15,1388.01,1384.98,1386.97,2304,GOOG
25,1593459900,1387.18,1395.49,1385.56,1395.49,10905,GOOG
0,1593437400,1357.62,1358.14,1348.67,1353.09,4717,GOOG
1,1593438300,1353.4,1367.49,1351.315,1367.49,2461,GOOG
2,1593439200,1369.82,1375.245,1364.93,1375.245,3829,GOOG
3,1593440100,1374.33,1377.78,1371.7,1371.7,3843,GOOG
4,1593441000,1373.52,1379.63,1371.13,1379.63,3567,GOOG
5,1593441900,1379.79,1382.16,1376.5,1379.57,5637,GOOG
6,1593442800,1379.07,1379.52,1373.69,1373.87,1808,GOOG
7,1593443700,1375.59,1382.17,1375.17,1381.13,2401,GOOG
8,1593444600,1383.28,1384.69,1380.5,1382.19,2773,GOOG
9,1593445500,1383.37,1386.37,1383.37,1386.37,2308,GOOG
10,1593446400,1388.61,1388.61,1384.61,1385.26,2301,GOOG
11,1593447300,1384.81,1387.365,1384.04,1386.07,2776,GOOG
12,1593448200,1385.78,1386.385,1384.75,1384.75,1152,GOOG
13,1593449100,1383.13,1385.22,1383.13,1385.22,1530,GOOG
14,1593450000,1385.47,1385.47,1382.98,1384.95,1832,GOOG
15,1593450900,1384.94,1385.89,1382.38,1382.38,2222,GOOG
16,1593451800,1382.32,1386.48,1382.32,1385.48,1175,GOOG
17,1593452700,1386.66,1388.5,1385.955,1386.88,1110,GOOG
18,1593453600,1386.73,1386.92,1383.37,1386.92,1900,GOOG
19,1593454500,1388.44,1388.47,1384.451,1384.451,2027,GOOG
20,1593455400,1385.53,1387.89,1385.53,1387.64,1355,GOOG
21,1593456300,1386.825,1386.825,1382.55,1383.68,1649,GOOG
22,1593457200,1383.405,1383.945,1381.45,1383.59,4000,GOOG
23,1593458100,1384.385,1386.63,1383.23,1386.57,3672,GOOG
24,1593459000,1387.15,1388.01,1384.98,1386.97,2304,GOOG
25,1593459900,1387.18,1395.49,1385.56,1395.49,10905,GOOG
0,1598621400,1634.23,1637.17,1631.08,1637.17,10899,GOOG
1,1598622300,1637.57,1638.0,1634.94,1638.0,2610,GOOG
2,1598623200,1638.67,1641.79,1638.67,1638.71,1672,GOOG
3,1598624100,1640.5,1644.15,1639.96,1644.15,2381,GOOG
4,1598625000,1643.43,1643.43,1638.295,1638.53,1116,GOOG
5,1598625900,1637.79,1639.15,1636.52,1638.2,1760,GOOG
6,1598626800,1640.03,1642.115,1637.18,1642.115,798,GOOG
7,1598627700,1642.03,1644.87,1642.03,1642.9,2088,GOOG
8,1598628600,1642.995,1644.525,1642.515,1644.525,2000,GOOG
9,1598629500,1645.015,1645.12,1644.89,1645.12,338,GOOG
10,1598630400,1644.64,1644.64,1643.3,1643.3,1381,GOOG
11,1598631300,1643.455,1643.455,1642.19,1642.43,850,GOOG
12,1598632200,1641.26,1641.26,1640.77,1640.77,529,GOOG
13,1598633100,1641.71,1643.7,1641.71,1643.7,999,GOOG
14,1598634000,1643.61,1643.61,1638.56,1638.56,1039,GOOG
15,1598634900,1640.52,1640.52,1639.11,1639.11,413,GOOG
16,1598635800,1638.0,1640.005,1637.655,1638.995,1428,GOOG
17,1598636700,1640.69,1641.81,1639.52,1641.81,1241,GOOG
18,1598637600,1639.3,1642.29,1639.3,1641.81,615,GOOG
19,1598638500,1641.47,1642.09,1641.08,1641.09,966,GOOG
20,1598639400,1641.625,1642.465,1640.295,1642.465,947,GOOG
21,1598640300,1640.86,1642.4,1640.09,1640.09,635,GOOG
22,1598641200,1640.99,1642.97,1640.99,1642.97,1328,GOOG
23,1598642100,1642.27,1644.29,1642.27,1644.22,2149,GOOG
24,1598643000,1644.41,1645.87,1644.41,1645.17,2504,GOOG
25,1598643900,1645.78,1646.34,1642.165,1642.58,6105,GOOG
0,1598621400,1634.23,1637.17,1631.08,1637.17,10899,GOOG
1,1598622300,1637.57,1638.0,1634.94,1638.0,2610,GOOG
2,1598623200,1638.67,1641.79,1638.67,1638.71,1672,GOOG
3,1598624100,1640.5,1644.15,1639.96,1644.15,2381,GOOG
4,1598625000,1643.43,1643.43,1638.295,1638.53,1116,GOOG
5,1598625900,1637.79,1639.15,1636.52,1638.2,1760,GOOG
6,1598626800,1640.03,1642.115,1637.18,1642.115,798,GOOG
7,1598627700,1642.03,1644.87,1642.03,1642.9,2088,GOOG
8,1598628600,1642.995,1644.525,1642.515,1644.525,2000,GOOG
9,1598629500,1645.015,1645.12,1644.89,1645.12,338,GOOG
10,1598630400,1644.64,1644.64,1643.3,1643.3,1381,GOOG
11,1598631300,1643.455,1643.455,1642.19,1642.43,850,GOOG
12,1598632200,1641.26,1641.26,1640.77,1640.77,529,GOOG
13,1598633100,1641.71,1643.7,1641.71,1643.7,999,GOOG
14,1598634000,1643.61,1643.61,1638.56,1638.56,1039,GOOG
15,1598634900,1640.52,1640.52,1639.11,1639.11,413,GOOG
16,1598635800,1638.0,1640.005,1637.655,1638.995,1428,GOOG
17,1598636700,1640.69,1641.81,1639.52,1641.81,1241,GOOG
18,1598637600,1639.3,1642.29,1639.3,1641.81,615,GOOG
19,1598638500,1641.47,1642.09,1641.08,1641.09,966,GOOG
20,1598639400,1641.625,1642.465,1640.295,1642.465,947,GOOG
21,1598640300,1640.86,1642.4,1640.09,1640.09,635,GOOG
22,1598641200,1640.99,1642.97,1640.99,1642.97,1328,GOOG
23,1598642100,1642.27,1644.29,1642.27,1644.22,2149,GOOG
24,1598643000,1644.41,1645.87,1644.41,1645.17,2504,GOOG
25,1598643900,1645.78,1646.34,1642.165,1642.58,6105,GOOG
0,1600343100,1497.0,1497.0,1497.0,1497.0,100,GOOG
1,1600344900,1495.9,1495.9,1495.9,1495.9,100,GOOG
2,1600347600,1489.62,1489.62,1489.07,1489.07,200,GOOG
3,1600349400,1493.01,1499.45,1489.18,1490.495,5826,GOOG
4,1600350300,1493.13,1502.17,1492.26,1499.075,5068,GOOG
5,1600351200,1498.69,1502.52,1496.6,1498.9,4097,GOOG
6,1600352100,1495.705,1496.34,1484.0,1487.27,3846,GOOG
7,1600353000,1488.585,1506.455,1487.72,1504.515,4327,GOOG
8,1600353900,1503.84,1508.21,1503.68,1503.86,4375,GOOG
9,1600354800,1503.83,1506.48,1501.92,1501.92,2512,GOOG
10,1600355700,1505.175,1505.175,1496.82,1500.02,1789,GOOG
11,1600356600,1497.43,1500.62,1493.81,1493.81,834,GOOG
12,1600357500,1492.475,1492.475,1486.56,1488.65,1140,GOOG
13,1600358400,1487.33,1489.995,1480.67,1481.15,3045,GOOG
14,1600359300,1482.725,1485.7,1478.63,1480.44,4517,GOOG
15,1600360200,1481.57,1485.96,1480.125,1480.125,3352,GOOG
16,1600361100,1477.85,1480.51,1472.36,1477.81,3232,GOOG
17,1600362000,1480.4,1481.405,1480.17,1480.47,550,GOOG
18,1600362900,1475.9,1476.05,1473.83,1476.05,1407,GOOG
19,1600363800,1479.55,1481.91,1479.55,1481.91,400,GOOG
20,1600364700,1481.93,1481.98,1480.73,1481.07,989,GOOG
21,1600365600,1481.68,1484.48,1481.68,1483.85,963,GOOG
22,1600366500,1483.35,1483.525,1481.29,1481.29,1105,GOOG
23,1600367400,1475.13,1476.29,1473.36,1473.36,884,GOOG
24,1600368300,1475.85,1478.055,1475.555,1477.675,1246,GOOG
25,1600369200,1474.14,1483.67,1472.61,1483.67,1208,GOOG
26,1600370100,1486.18,1486.335,1480.36,1480.36,1420,GOOG
27,1600371000,1487.17,1493.52,1487.17,1491.85,2715,GOOG
28,1600371900,1490.47,1496.06,1488.465,1496.06,4326,GOOG
0,1600343100,1497.0,1497.0,1497.0,1497.0,100,GOOG
1,1600344900,1495.9,1495.9,1495.9,1495.9,100,GOOG
2,1600347600,1489.62,1489.62,1489.07,1489.07,200,GOOG
3,1600349400,1493.01,1499.45,1489.18,1490.495,5826,GOOG
